numero_marche,objet,montant_initial,date_notification,nature,acheteur,supports,idweb_boamp,notice_ted,aws_idm,version_schema,source_entree
2596399,FOURNITURE DE NICHOIRS A OISEAUX ET GITES A CHAUVES-SOURIS POUR LES SECTEURS 2 A 4 DU CANAL SEINE-NORD EUROPE (marché B117),89750.0,2024-11-18,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2598984,Fouilles archéologiques   - PALEOLITHIQUE,6950994.01,2024-10-08,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2606349,"Fouille archéologique préventive à Moislains (Somme) secteur 3, tranche opérationnelle 16 (S3-T016) site 8 – Fouille H",1799193.49,2024-11-21,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2637C83,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
2641604,B024_MS_S2F01_ Marché subséquent sur accord-cadre 20TRI053C (lot 3)_Fouilles archéologiques préventives à Noyon (secteur 2)_ Fouille K,2135740.07,2025-01-14,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2642049,"Assurances travaux du secteur 1 et responsabilité civile 
3 lots TRC, RCMO et RCAE -LOT 1 Tous risques chantier et montage essais",2288120.35,2025-01-02,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2642059,"Assurances travaux du secteur 1 et responsabilité civile 
3 lots TRC, RCMO et RCAE - LOT 2 Responsabilité civile Maître d'Ouvrage",447412.3,2024-12-31,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2642069,"Assurances travaux du secteur 1 et responsabilité civile 
3 lots TRC, RCMO et RCAE - LOT 3 Responsabilité civile atteinte à l'environnement",321550.0,2024-12-31,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2642834,Marché de prestations intellectuelles portant sur une mission d’Assistance à Maitrise d'Ouvrage Achats dans le cadre de la passation et l’exécution des contrats pour la Société du Canal Seine-Nord Europe.,2000000.0,2025-01-15,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2655388,"Le marché subséquent objet de la présente consultation a pour objet une fouille archéologique préventive à Bourlon et Marquion (Pas-de-Calais) secteur 4, prescrite par l’arrêté de prescription de fouilles CSNE-2024-52-T029-A7 en date du 16/05/2024.",9466564.66,2025-01-31,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2662683,Déboisement - Secteur 2 - Canal Seine-Nord Europe - M211-2.1-Sud,708450.38,2025-02-10,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2662688,Déboisement - Secteur 2 - Canal Seine-Nord Europe - M212-2.2-Nord,446701.65,2025-02-10,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2666C71,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
2698584,Marché subséquent sur le Lot 3 - Protohistoire de l'AC 20TRI053C portant sur des fouilles archéologiques préventives sur le territoire de la commune d'ÉQUANCOURT / ETRICOURT-MANANCOURT (Somme) pour le S3 - Tranche opérationnelle 19 - Fouilles L- S3F04,3737675.61,2025-04-10,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2698904,"L'objet du marché est la fouille archéologique préventive à Licourt (Somme), secteur 2, tranche opérationnelle 32, fouille V - B166",1413699.0,2025-03-28,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2706994,"Marchés de maîtrise d’oeuvre dans le cadre du projet de construction du Canal Seine-Nord-Europe (CSNE)  ""TOARC – Secteurs 2, 3 et 4 "" - Marché 18TRI001B – Maîtrise d’oeuvre du secteur 2 Passel – Allaines du projet de construction du Canal Seine-Nord Europ",311792.25,2024-12-06,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2707054,"Marchés de maîtrise d’oeuvre dans le cadre du projet de construction du Canal Seine-Nord-Europe (CSNE)  ""TOARC – Secteurs 2, 3 et 4 "" - Marché 18TRI001B – Maîtrise d’oeuvre du secteur 2 Passel – Allaines du projet de construction du Canal Seine-Nord Europ",170062.0,2024-12-19,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2707074,"Marchés de maîtrise d’œuvre dans le cadre du projet de construction du Canal Seine-Nord-Europe (CSNE)  ""TOARC – Secteurs 2, 3 et 4 "" - Marché 18TRI001C – Maîtrise d’œuvre du secteur 3 Allaines – Etricourt-Manancourt du projet de construction du Canal
Marché subséquent n°12 - Etudes en laboratoire du comportement des craies traitées à la chaux.",36000.0,2024-11-29,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2731588,Lot 3 - Fouilles archéologiques à Sermaize (Somme) S2F03,1985750.2,2025-05-28,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2756703,"Fouille archéologique préventive S4F12 et S4F13 à Oisy-le-Verger (Pas-de-Calais)
Fouille S4 F12 : tranche opérationnelle (T043) - secteur 4 - site 20 lieu-dit : La Couture de l’Abbaye - Fouille U
Fouille S4 F13 : Tranche opérationnelle (TO35) - secteur 4 - site 9 Oisy le Verger - Fouille T - Fouille S4 F13 site 9 Oisy le Verger - Fouille T (marché B130)",274459.5,2025-03-27,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2760638,"Le présent marché subséquent a pour objet une fouille archéologique préventive à Catigny (Oise), secteur 2, tranche opérationnelle « R1D1-rescindement de Catigny-Oise », prescrite par l’arrêté de prescription de fouilles CSNE-2024-88-A1 en date du 10/12/2024.
Cette fouille archéologique a pour but de procéder à la sauvegarde par l’étude, d’une occupation du Paléolithique moyen, probablement corrélée au stade isotopique 4.",1354679.54,2025-07-16,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2780544,Canal Seine-Nord Europe - S1 - TOARC - lot 5 : Déconstruction des ponts - Canal Seine-Nord Europe - S1 - TOARC - lot 5 : Déconstruction des ponts,3112200.0,2025-01-10,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2805792,La présente consultation porte sur un marché de prestations de services d’aménagements de génie écologique et de petits terrassements à réaliser dans le cadre de la mise en œuvre des mesures compensatoires hors emprises du projet de construction du Canal Seine Nord Europe. - Marché de prestations d'aménagement des mesures compensatoires et de petits terrassements sur les sites hors DUP du CSNE - Lot A,579624.65,2025-09-30,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2805797,La présente consultation porte sur un marché de prestations de services d’aménagements de génie écologique et de petits terrassements à réaliser dans le cadre de la mise en œuvre des mesures compensatoires hors emprises du projet de construction du Canal Seine Nord Europe. - Marché de prestations d'aménagement des mesures compensatoires et de petits terrassements sur les istes hors DUP du CSNE - Lot C,1415383.47,2025-09-30,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2807527,MS au lot 3 - Fouilles archéologiques à Bourlon et Marquion - B100-S4F09 - Fouille S,1853579.0,2025-09-30,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2807607,"Le marché subséquent de la présente consultation a pour objet une fouille archéologique préventive à Bourlon (Pas-de-Calais) secteur 4.
Les principaux objectifs de la fouille sont la reconnaissance, la caractérisation et le phasage des différentes occupations présentes sur le site, ainsi que l'intégration des données issues de la fouille dans le contexte micro-régional, afin de reconstituer les schémas d'occupation et d'organisation d'un territoire.",318947.0,2025-09-30,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2813047,Marché subséquent sur le lot 3 - Protohistoire de l'AC 20TRI053C portant sur des fouilles archéologiques préventives sur le territoire de la commune d'ETRICOURT-MANANCOURT (SOMME) pour le S3 - Tranche Opérationnelle 18 - site 13 - Fouille O - S3F06.,4327670.13,2025-10-10,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2844722,"La présente consultation porte sur la réalisation de travaux d’aménagement, de réhabilitation et de construction de quais fluviaux de travaux sur le canal du Nord pour favoriser le transport fluvial dans le cadre des travaux préparatoires du projet de construction du canal Seine-Nord Europe - Secteur 2. 
Les travaux à réaliser sont divisés en deux lots valant marché, portant sur :
•	Lot Q1- M213 - La réhabilitation de quais existants, regroupant les quais de Pont l’Évêque, de Languevoisin, de Rouy-le-Petit et de Péronne,
•	Lot Q2 – M214- La construction du quai neuf de Catigny.
La description précise des travaux et des prestations associées attendus figure au Cahier des Clauses Techniques Particulières (CCTP). - M214 - Lot Q2",4228416.0,2025-11-20,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2852282,"L’objet du marché est la fouille archéologique préventive à Beaurains-Les-Noyon (Oise), Tranche opérationnelle 40 - Secteur 2, Site 3, fouille X.",1780954.77,2025-11-26,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2858002,"La consultation a pour objet la réalisation de la déviation provisoire de la voie communale Allaines-Bouchavesnes associée à la réalisation du futur Canal Seine-Nord Europe.
Le marché s'inscrit dans le cadre des travaux préparatoires aux travaux principaux de construction de l'écluse d'Allaines.",319936.0,2025-12-03,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2931198,"Cette fouille archéologique préventive a pour but de procéder à la sauvegarde par l'étude de l'établissement rural prenant place entre le 1er âge du Fer et le Haut Empire, la fouille de la nécropole datée de La Tène D1-D2 ainsi que l'étude du terroir associé.",2588673.84,2026-03-03,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2950343,Réalisation de travaux d'aménagements de génie écologique pour le secteur 2 du Canal Seine-Nord Europe - 2.1 - Sud,12134059.78,2026-04-13,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2950348,Réalisation de travaux d'aménagements de génie écologique pour le secteur 2 du Canal Seine-Nord Europe - 2.2 - Nord,8641524.06,2026-04-13,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
B086,,,,carte widget SCSNE,SCSNE,widget-SCSNE,25-140463,850945-2025,,,widget-SCSNE
B131,,,,carte widget SCSNE,SCSNE,widget-SCSNE,25-113183,,,,widget-SCSNE
D099,,,,carte widget SCSNE,SCSNE,widget-SCSNE,,,,,widget-SCSNE
D243,,,,carte widget SCSNE,SCSNE,widget-SCSNE,26-59448,417026-2026,1759085,,widget-SCSNE
M221,,,,carte widget SCSNE,SCSNE,widget-SCSNE,25-114019,676593-2025,,,widget-SCSNE
M222,,,,carte widget SCSNE,SCSNE,widget-SCSNE,25-122037,730066-2025,,,widget-SCSNE
M321,,,,carte widget SCSNE,SCSNE,widget-SCSNE,26-20863,,,,widget-SCSNE
M404,,,,carte widget SCSNE,SCSNE,widget-SCSNE,25-130941,,,,widget-SCSNE
M405,,,,carte widget SCSNE,SCSNE,widget-SCSNE,25-124779,747456-2025,,,widget-SCSNE
M522,,,,carte widget SCSNE,SCSNE,widget-SCSNE,26-55339,389639-2026,,,widget-SCSNE
M524,,,,carte widget SCSNE,SCSNE,widget-SCSNE,26-69739,485750-2026,,,widget-SCSNE
MC04,,,,carte widget SCSNE,SCSNE,widget-SCSNE,26-72063,502268-2026,,,widget-SCSNE
M213,"Lot Q1 - M213 : réhabilitation de quais existants (Pont l'Évêque, Languevoisin, Rouy-le-Petit, Péronne) - Canal du Nord Secteur 2 - travaux préparatoires CSNE (avis BOAMP 25-132968)",2999530.10,2025-11-20,Marché,82953599600039,BOAMP;TED,25-132968,806579-2025,,,BOAMP-TED
