id,_type,objet,nature,source,codeCPV,montant,dureeMois,formePrix,procedure,offresRecues,dateNotification,datePublicationDonnees,dateSignature,acheteur_id,acheteur_nom,titulaires_siret,titulaires_nom,lieuExecution_code,typeGroupementOperateurs,modifications,ref__file_date,correction_doublon,acheteur_siren,acheteur_siret,acheteur_luhn,titulaires_siret_norm,titulaires_siren,titulaires_luhn,cle_dedup,statut_dedup,rne_statut
2698584,Marché,Marché subséquent sur le Lot 3 - Protohistoire de l'AC 20TRI053C portant sur des fouilles archéologiques préventives sur le territoire de la commune d'ÉQUANCOURT / ETRICOURT-MANANCOURT (Somme) pour le S3 - Tranche opérationnelle 19 - Fouilles L- S3F04,Marché,AIFE_PLACE,45112420-5,3737675.61,48,Forfaitaire,Procédure avec négociation,4,2025-04-10,2025-04-11,,82953599600039,,49182568300205,,80,Pas de groupement,,2026-06-20 03:42:54,,829535996,82953599600039,OK,49182568300205,491825683,OK,2698584|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2698904,Marché,"L'objet du marché est la fouille archéologique préventive à Licourt (Somme), secteur 2, tranche opérationnelle 32, fouille V - B166",Marché,AIFE_PLACE,45112000-5,1413699.0,13,Mixte,Procédure avec négociation,2,2025-03-28,2025-04-11,,82953599600039,,49002086400024,,60,Pas de groupement,,2026-06-20 03:42:54,,829535996,82953599600039,OK,49002086400024,490020864,OK,2698904|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2706994,Marché,"Marchés de maîtrise d’oeuvre dans le cadre du projet de construction du Canal Seine-Nord-Europe (CSNE)  ""TOARC – Secteurs 2, 3 et 4 "" - Marché 18TRI001B – Maîtrise d’oeuvre du secteur 2 Passel – Allaines du projet de construction du Canal Seine-Nord Europ",Marché,AIFE_PLACE,71310000-4,311792.25,17,Forfaitaire,Marché passé sans publicité ni mise en concurrence préalable,1,2024-12-06,2025-04-28,,82953599600039,,49333442900591,,60,Pas de groupement,,2026-06-20 03:42:54,,829535996,82953599600039,OK,49333442900591,493334429,OK,2706994|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2707054,Marché,"Marchés de maîtrise d’oeuvre dans le cadre du projet de construction du Canal Seine-Nord-Europe (CSNE)  ""TOARC – Secteurs 2, 3 et 4 "" - Marché 18TRI001B – Maîtrise d’oeuvre du secteur 2 Passel – Allaines du projet de construction du Canal Seine-Nord Europ",Marché,AIFE_PLACE,71310000-4,170062.0,19,Forfaitaire,Marché passé sans publicité ni mise en concurrence préalable,1,2024-12-19,2025-04-28,,82953599600039,,49333442900591,,60,Pas de groupement,,2026-06-20 03:42:54,,829535996,82953599600039,OK,49333442900591,493334429,OK,2707054|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2707074,Marché,"Marchés de maîtrise d’œuvre dans le cadre du projet de construction du Canal Seine-Nord-Europe (CSNE)  ""TOARC – Secteurs 2, 3 et 4 "" - Marché 18TRI001C – Maîtrise d’œuvre du secteur 3 Allaines – Etricourt-Manancourt du projet de construction du Canal
Marché subséquent n°12 - Etudes en laboratoire du comportement des craies traitées à la chaux.",Marché,AIFE_PLACE,71000000-8,36000.0,10,Forfaitaire,Marché passé sans publicité ni mise en concurrence préalable,1,2024-11-29,2025-04-28,,82953599600039,,40150379200533,,60,Pas de groupement,,2026-06-20 03:42:54,,829535996,82953599600039,OK,40150379200533,401503792,OK,2707074|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2731588,Marché, Lot 3 - Fouilles archéologiques à Sermaize (Somme) S2F03,Marché,AIFE_PLACE,45112000-5,1985750.2,45,Mixte,Procédure adaptée,3,2025-05-28,2025-06-10,,82953599600039,,18009226400225,,60,Pas de groupement,,2026-06-18 09:41:08,,829535996,82953599600039,OK,18009226400225,180092264,OK,2731588|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2756703,Marché,"Fouille archéologique préventive S4F12 et S4F13 à Oisy-le-Verger (Pas-de-Calais)
Fouille S4 F12 : tranche opérationnelle (T043) - secteur 4 - site 20 lieu-dit : La Couture de l’Abbaye - Fouille U
Fouille S4 F13 : Tranche opérationnelle (TO35) - secteur 4 - site 9 Oisy le Verger - Fouille T - Fouille S4 F13 site 9 Oisy le Verger - Fouille T (marché B130)",Marché,AIFE_PLACE,45112000-5,274459.5,39,Forfaitaire,Procédure avec négociation,4,2025-03-27,2025-12-10,,82953599600039,,49002086400024,,60,Pas de groupement,,2026-06-18 09:53:58,,829535996,82953599600039,OK,49002086400024,490020864,OK,2756703|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2760638,Marché,"Le présent marché subséquent a pour objet une fouille archéologique préventive à Catigny (Oise), secteur 2, tranche opérationnelle « R1D1-rescindement de Catigny-Oise », prescrite par l’arrêté de prescription de fouilles CSNE-2024-88-A1 en date du 10/12/2024.
Cette fouille archéologique a pour but de procéder à la sauvegarde par l’étude, d’une occupation du Paléolithique moyen, probablement corrélée au stade isotopique 4.",Marché,AIFE_PLACE,45112000-5,1354679.54,44,Mixte,Procédure avec négociation,2,2025-07-16,2025-12-10,,82953599600039,,49193405500030,,60,Pas de groupement,,2026-06-18 09:53:58,,829535996,82953599600039,OK,49193405500030,491934055,OK,2760638|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2780544,Marché,Canal Seine-Nord Europe - S1 - TOARC - lot 5 : Déconstruction des ponts - Canal Seine-Nord Europe - S1 - TOARC - lot 5 : Déconstruction des ponts,Marché,AIFE_PLACE,45111100-9,3112200.0,44,Unitaire,Appel d'offres ouvert,5,2025-01-10,2025-10-07,,82953599600039,,30805498000021,,60,Pas de groupement,,2026-06-19 03:55:56,,829535996,82953599600039,OK,30805498000021,308054980,OK,2780544|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2805792,Marché,La présente consultation porte sur un marché de prestations de services d’aménagements de génie écologique et de petits terrassements à réaliser dans le cadre de la mise en œuvre des mesures compensatoires hors emprises du projet de construction du Canal Seine Nord Europe. - Marché de prestations d'aménagement des mesures compensatoires et de petits terrassements sur les sites hors DUP du CSNE - Lot A,Marché,AIFE_PLACE,90722000-4,579624.65,27,Mixte,Procédure avec négociation,3,2025-09-30,2026-01-20,,82953599600039,,39235757000028,,80,Pas de groupement,,2026-06-18 10:06:54,,829535996,82953599600039,OK,39235757000028,392357570,OK,2805792|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
